timestamp,elapsed_time,Plastic_1_in_water_pixel_area,Plastic_1_in_water_area_cm2,Plastic_2_in_acid_pixel_area,Plastic_2_in_acid_area_cm2
20250411_112643,1.53,102075.5,4.115955812556786,100164.5,4.0388992068306715
20250411_112653,11.54,114887.5,4.632569749010465,100358.5,4.0467218031210255
20250411_112703,21.57,117939.0,4.755614349938377,100512.0,4.052911331629114
20250411_112713,31.61,0,0.0,25646.0,1.0341149714557494
20250411_112723,41.72,102419.5,4.129826808040713,102046.5,4.114786455379362
20250411_112733,51.75,102125.0,4.117951784290665,101582.0,4.096056579209932
20250411_112743,61.79,102210.0,4.121379210500357,101600.5,4.096802548443807
20250411_112753,71.86,102166.5,4.119625174734221,101639.5,4.0983751322341355
20250411_112803,81.93,102243.0,4.122709858322942,101758.5,4.1031735289277025
20250411_112813,92.02,102206.0,4.121217919855194,101726.0,4.101863042435762
20250411_112823,102.04,102151.0,4.119000173484218,101605.0,4.096984000419614
20250411_112833,112.07,102175.0,4.11996791735519,101600.5,4.096802548443807
20250411_112843,122.14,102343.0,4.126742124451991,101646.0,4.098637229532524
20250411_112853,132.16,102116.5,4.117609041669697,101588.5,4.096318676508321
20250411_112903,142.26,102104.5,4.11712516973421,0,0.0
20250411_112913,152.30,102118.5,4.117689686992278,0,0.0
20250411_112923,162.34,102148.5,4.118899366830991,101584.5,4.096157385863159
20250411_112933,172.45,102050.5,4.114947746024524,101648.5,4.09873803618575
20250411_112944,182.61,102126.5,4.118012268282601,101596.5,4.096641257798645
20250411_112954,192.61,102117.5,4.117649364330987,101595.0,4.096580773806709
20250411_113004,202.64,102114.5,4.117528396347115,101535.0,4.09416141412928
20250411_113014,212.68,102070.0,4.1157340379196885,0,0.0
20250411_113024,222.74,102100.0,4.116943717758403,0,0.0
20250411_113034,232.78,102074.0,4.115895328564851,101502.0,4.092830766306694
20250411_113044,242.91,102052.0,4.1150082300164605,101550.0,4.094766254048637
20250411_113054,252.94,102048.0,4.114846939371298,101497.0,4.092629153000241
20250411_113104,262.97,102048.5,4.114867100701943,0,0.0
20250411_113114,273.01,102147.5,4.118859044169701,101497.0,4.092629153000241
20250411_113124,283.05,101996.0,4.112750160984193,0,0.0
20250411_113134,293.07,101932.0,4.110169510661602,101507.0,4.093032379613146
20250411_113144,303.14,102106.0,4.117185653726146,101472.5,4.091641247798624
20250411_113154,313.17,102063.0,4.115451779290655,0,0.0
20250411_113204,323.18,102023.5,4.113859034169681,101513.0,4.0932743155808895
20250411_113214,333.20,102067.0,4.115613069935817,101475.5,4.091762215782496
20250411_113224,343.24,102066.5,4.115592908605172,101434.0,4.090088825338941
20250411_113234,353.30,0,0.0,101601.5,4.096842871105097
20250411_113244,363.47,102009.5,4.113294516911615,101441.5,4.090391245298619
20250411_113255,373.51,102084.0,4.116298555177756,101521.0,4.093596896871213
20250411_113305,383.51,102018.5,4.1136574208632295,101434.5,4.090108986669586
20250411_113315,393.54,102155.0,4.11916146412938,101448.5,4.090673503927653
20250411_113325,403.61,102037.0,4.114403390097102,101511.5,4.093213831588954
20250411_113335,413.62,101950.5,4.110915479895476,0,0.0
20250411_113345,423.65,101959.0,4.111258222516446,0,0.0
20250411_113355,433.67,102039.0,4.114484035419683,101537.5,4.094262220782506
20250411_113405,443.73,101983.0,4.112225966387417,0,0.0
20250411_113415,453.88,101942.5,4.1105928986051525,101445.0,4.090532374613137
20250411_113425,463.90,101998.0,4.112830806306774,101498.0,4.092669475661531
20250411_113435,473.95,102040.5,4.11454451941162,101579.5,4.095955772556707
20250411_113445,483.98,102065.5,4.115552585943882,0,0.0
20250411_113455,493.99,102049.0,4.114887262032589,101549.5,4.094746092717992
20250411_113505,504.03,102024.5,4.113899356830972,101414.5,4.089302533443776
20250411_113515,514.06,102010.0,4.11331467824226,101446.5,4.090592858605072
20250411_113525,524.10,101985.0,4.112306611709998,101462.0,4.091217859855075
20250411_113535,534.21,101950.0,4.110895318564831,101541.5,4.094423511427668
20250411_113545,544.25,101946.5,4.110754189250314,0,0.0
20250411_113555,554.26,101996.5,4.112770322314838,101564.5,4.095350932637349
20250411_113605,564.38,102057.5,4.115230004653558,0,0.0
20250411_113615,574.40,102042.0,4.114605003403555,101612.0,4.097266259048648
20250411_113625,584.45,101962.0,4.111379190500316,101540.0,4.094363027435732
20250411_113635,594.46,101973.5,4.111842901105157,101525.0,4.093758187516375
20250411_113646,604.51,101963.5,4.111439674492252,101585.0,4.096177547193804
20250411_113656,614.54,102078.5,4.1160767805406575,101705.0,4.101016266548662
20250411_113706,624.56,101976.0,4.111943707758384,101510.0,4.093153347597018
20250411_113716,634.60,101960.5,4.1113187065083805,101510.0,4.093153347597018
20250411_113726,644.69,101997.5,4.112810644976129,101474.0,4.09170173179056
20250411_113736,654.74,101925.0,4.109887252032569,101545.5,4.09458480207283
20250411_113746,664.76,102044.0,4.114685648726136,101619.0,4.09754851767768
20250411_113756,674.80,101890.0,4.108475958887402,101480.5,4.091963829088948
20250411_113806,684.82,101991.0,4.11254854767774,101473.5,4.091681570459915
20250411_113816,694.85,102071.0,4.115774360580979,101478.5,4.091883183766368
20250411_113826,704.91,101978.5,4.112044514411609,101581.0,4.096016256548642
20250411_113836,714.93,102036.0,4.1143630674358125,0,0.0
20250411_113846,724.95,101935.0,4.1102904786454735,101614.5,4.0973670657018735
20250411_113856,735.01,102039.5,4.114504196750329,101475.5,4.091762215782496
20250411_113906,745.01,102057.5,4.115230004653558,101455.5,4.090955762556686
20250411_113916,755.12,101997.0,4.112790483645483,101536.5,4.094221898121216
20250411_113926,765.16,101936.0,4.110330801306764,0,0.0
20250411_113936,775.17,101957.5,4.111197738524509,0,0.0
20250411_113946,785.21,101952.0,4.1109759638874115,101497.0,4.092629153000241
20250411_113956,795.23,102019.5,4.1136977435245194,101555.0,4.0949678673550896
20250411_114006,805.29,101945.5,4.110713866589024,101588.5,4.096318676508321
20250411_114016,815.34,101902.5,4.108979992153532,101471.5,4.091600925137334
20250411_114026,825.36,101955.0,4.111096931871283,101468.5,4.091479957153463
20250411_114036,835.39,101998.0,4.112830806306774,101561.0,4.095209803322833
20250411_114046,845.40,101987.5,4.112407418363224,101505.5,4.09297189562121
20250411_114056,855.45,101912.5,4.109383218766437,101499.0,4.092709798322822
20250411_114106,865.49,101991.0,4.11254854767774,101480.5,4.091963829088948
20250411_114117,875.52,102136.5,4.118415494895506,101489.0,4.092306571709917
20250411_114127,885.55,101987.5,4.112407418363224,0,0.0
20250411_114137,895.58,102004.0,4.113072742274517,0,0.0
20250411_114147,905.62,101987.5,4.112407418363224,0,0.0
20250411_114157,915.66,102020.5,4.11373806618581,101545.5,4.09458480207283
20250411_114207,925.69,101962.5,4.111399351830961,101465.5,4.091358989169591
20250411_114217,935.72,101967.5,4.111600965137415,101599.5,4.096762225782516
20250411_114227,945.76,101943.5,4.1106332212664425,101518.5,4.093496090217987
20250411_114237,955.79,101957.0,4.111177577193864,101523.5,4.093697703524439
20250411_114247,965.80,102072.0,4.115814683242269,0,0.0
20250411_114257,975.88,102015.5,4.113536452879358,0,0.0
20250411_114307,985.92,101897.0,4.108758217516435,101457.5,4.091036407879267
20250411_114317,995.95,102017.5,4.113617098201939,0,0.0
20250411_114327,1005.96,102048.0,4.114846939371298,101517.5,4.093455767556696
20250411_114337,1016.05,101989.5,4.112488063685805,101439.5,4.090310599976038
20250411_114347,1026.10,102037.5,4.114423551427748,0,0.0
20250411_114357,1036.12,102010.0,4.11331467824226,101439.0,4.090290438645393
20250411_114407,1046.16,101936.5,4.110350962637409,0,0.0
20250411_114417,1056.19,101998.0,4.112830806306774,101523.5,4.093697703524439
20250411_114427,1066.23,102030.0,4.114121131468069,101454.0,4.0908952785647505
20250411_114437,1076.26,101950.5,4.110915479895476,0,0.0
20250411_114447,1086.29,102012.5,4.113415484895486,101442.5,4.09043156795991
20250411_114457,1096.32,102024.5,4.113899356830972,0,0.0
20250411_114507,1106.36,101894.5,4.108657410863209,101585.5,4.096197708524449
20250411_114517,1116.40,102062.0,4.1154114566293645,101568.0,4.095492061951866
20250411_114527,1126.43,101917.5,4.1095848320728905,0,0.0
20250411_114537,1136.47,101917.0,4.109564670742245,101411.5,4.089181565459905
20250411_114547,1146.50,101890.0,4.108475958887402,101534.5,4.094141252798634
20250411_114558,1156.52,102076.0,4.115975973887432,0,0.0
20250411_114608,1166.56,101947.5,4.110794511911605,101505.5,4.09297189562121
20250411_114618,1176.59,102008.0,4.113234032919679,101623.5,4.0977299696534875
20250411_114628,1186.64,102086.5,4.1163993618309815,101914.0,4.109443702758373
20250411_114638,1196.67,101963.5,4.111439674492252,101526.5,4.093818671508311
